Timestamp,Time_Elapsed_Sec,Raw_Velocity,EMA_0.2,EMA_0.3,EMA_0.35,EMA_0.4,EMA_0.45,EMA_0.5,EMA_0.55
18:56:05.286,0.11,-0.013,-0.0026,-0.0034,-0.0038,-0.0042,-0.0048,-0.0053,-0.006
18:56:05.461,0.279,-0.0007,-0.0023,-0.0026,-0.0027,-0.0028,-0.0029,-0.003,-0.0031
18:56:05.576,0.399,0,-0.0018,-0.0018,-0.0018,-0.0017,-0.0016,-0.0015,-0.0014
18:56:05.673,0.492,-0.0007,-0.0016,-0.0015,-0.0014,-0.0013,-0.0012,-0.0011,-0.001
18:56:05.858,0.679,0.0091,0.0006,0.0017,0.0023,0.0029,0.0034,0.004,0.0046
18:56:06.063,0.885,-0.0008,0.0003,0.001,0.0012,0.0014,0.0016,0.0016,0.0016
18:56:06.282,1.101,0.0004,0.0003,0.0008,0.0009,0.001,0.0011,0.001,0.001
18:56:06.488,1.304,0,0.0003,0.0006,0.0006,0.0006,0.0006,0.0005,0.0004
18:56:06.670,1.489,0,0.0002,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002
18:56:06.788,1.609,-0.0281,-0.0055,-0.0081,-0.0096,-0.011,-0.0125,-0.0139,-0.0154
18:56:06.870,1.688,-0.0022,-0.0048,-0.0064,-0.007,-0.0075,-0.0079,-0.0081,-0.0081
18:56:07.016,1.834,0.0004,-0.0038,-0.0043,-0.0044,-0.0043,-0.0041,-0.0038,-0.0034
18:56:07.132,1.953,-0.0022,-0.0035,-0.0037,-0.0036,-0.0035,-0.0033,-0.003,-0.0028
18:56:07.236,2.06,0.011,-0.0006,0.0007,0.0015,0.0023,0.0032,0.004,0.0048
18:56:07.348,2.167,0.0031,0.0002,0.0014,0.0021,0.0026,0.0031,0.0036,0.0039
18:56:07.456,2.278,0.0033,0.0008,0.002,0.0025,0.0029,0.0032,0.0034,0.0035
18:56:07.538,2.357,-0.018,-0.003,-0.004,-0.0047,-0.0054,-0.0063,-0.0073,-0.0083
18:56:07.644,2.459,-0.05,-0.0124,-0.0178,-0.0205,-0.0233,-0.026,-0.0286,-0.0312
18:56:07.733,2.555,-0.018,-0.0135,-0.0178,-0.0196,-0.0211,-0.0224,-0.0233,-0.0239
18:56:07.852,2.673,0.0154,-0.0077,-0.0079,-0.0074,-0.0065,-0.0054,-0.0039,-0.0023
18:56:07.942,2.761,0.0035,-0.0055,-0.0045,-0.0036,-0.0025,-0.0014,-0.0002,0.0009
18:56:08.040,2.859,-0.0333,-0.011,-0.0131,-0.014,-0.0148,-0.0157,-0.0168,-0.0179
18:56:08.178,2.999,0.012,-0.0064,-0.0056,-0.0049,-0.0041,-0.0033,-0.0024,-0.0015
18:56:08.273,3.094,0.0006,-0.005,-0.0037,-0.003,-0.0022,-0.0015,-0.0009,-0.0003
18:56:08.399,3.219,0.0172,-0.0006,0.0025,0.0041,0.0055,0.0069,0.0081,0.0093
18:56:08.486,3.307,0.0671,0.013,0.0219,0.0261,0.0302,0.034,0.0376,0.0411
18:56:08.586,3.409,0.0574,0.0218,0.0326,0.0371,0.041,0.0445,0.0475,0.05
18:56:08.666,3.483,-0.0042,0.0166,0.0215,0.0226,0.023,0.0226,0.0217,0.0202
18:56:08.794,3.609,-0.0309,0.0071,0.0058,0.0039,0.0014,-0.0015,-0.0046,-0.0079
18:56:08.894,3.713,0.0068,0.0071,0.0061,0.0049,0.0036,0.0023,0.0011,0.0002
18:56:08.998,3.819,0.0492,0.0155,0.019,0.0204,0.0218,0.0234,0.0251,0.0271
18:56:09.102,3.924,0.3421,0.0808,0.1159,0.133,0.1499,0.1668,0.1836,0.2004
18:56:09.206,4.019,0.5573,0.1761,0.2483,0.2815,0.3129,0.3425,0.3704,0.3967
18:56:09.319,4.14,0.4035,0.2216,0.2949,0.3242,0.3491,0.37,0.387,0.4004
18:56:09.402,4.222,0.4623,0.2697,0.3451,0.3725,0.3944,0.4115,0.4246,0.4344
18:56:09.511,4.33,0.293,0.2744,0.3295,0.3447,0.3538,0.3582,0.3588,0.3567
18:56:09.598,4.419,0.4276,0.305,0.3589,0.3737,0.3833,0.3894,0.3932,0.3957
18:56:09.686,4.509,0.5071,0.3454,0.4034,0.4204,0.4328,0.4424,0.4502,0.457
18:56:09.796,4.617,0.4433,0.365,0.4154,0.4284,0.437,0.4428,0.4467,0.4495
18:56:09.888,4.709,0.5537,0.4028,0.4569,0.4723,0.4837,0.4927,0.5002,0.5068
18:56:09.996,4.819,0.2818,0.3786,0.4044,0.4056,0.403,0.3978,0.391,0.3831
18:56:10.099,4.923,0.175,0.3379,0.3356,0.3249,0.3118,0.2976,0.283,0.2687
18:56:10.210,5.031,0.0433,0.279,0.2479,0.2264,0.2044,0.1832,0.1632,0.1447
