Timestamp,Time_Elapsed_Sec,Raw_Velocity,EMA_Velocity,Butterworth_Velocity,SavGol_Velocity,,,,,,,,,,,,,,,,,
15:44:51.573,0.167,0.0052,0.0069,0.0052,0.0119,,,,,,,,,,,,,,,,,
15:44:51.696,0.296,-0.009,0.0022,-0.009,-0.0099,,,,,,,,,,start,5,,Time_Elapsed_Sec,Raw_Velocity,EMA_Velocity,Butterworth_Velocity,SavGol_Velocity
15:44:51.866,0.459,-0.0222,-0.0052,-0.0222,-0.026,,,,,,,,,,end,10,,5.156,-0.0393,-0.1629,-0.0393,-0.031
15:44:52.040,0.634,0.0005,-0.0035,0.0005,-0.003,,,,,,,,,,avg. raw,0.053844118,,5.3,-0.014,-0.1182,-0.014,0.014
15:44:52.197,0.79,0.0386,0.0092,0.0386,0.038,,,,,,,,,,avg. EMA,0.039458824,,5.463,-0.02,-0.0887,-0.0202,-0.0355
15:44:52.395,0.987,0.0233,0.0134,0.0233,0.0329,,,,,,,,,,,,,5.604,-0.0362,-0.073,-0.0364,-0.0344
15:44:52.578,1.176,-0.0005,0.0092,-0.0005,0.0002,,,,,,,,,,,,,5.766,-0.0201,-0.0571,-0.02,-0.0268
15:44:52.743,1.335,-0.0379,-0.0049,-0.0379,-0.0412,,,,,,,,,,,,,5.92,-0.0099,-0.043,-0.0098,-0.0092
15:44:52.889,1.481,0.0694,0.0174,0.0694,0.0517,,,,,,,,,,,,,6.022,0.0949,-0.0016,0.0949,0.0867
15:44:53.034,1.626,0.2098,0.0751,0.2098,0.209,,,,,,,,,,,,,6.136,0.0764,0.0218,0.0764,0.0926
15:44:53.171,1.766,0.3441,0.1558,0.3441,0.3582,,,,,,,,,,,,,6.252,0.5413,0.1776,0.5413,0.4906
15:44:53.330,1.92,0.3037,0.2002,0.3036,0.3263,,,,,,,,,,,,,6.39,0.3641,0.2336,0.3642,0.4408
15:44:53.483,2.07,0.3183,0.2356,0.3183,0.3065,,,,,,,,,,,,,6.468,1.071,0.4848,1.071,0.9931
15:44:53.620,2.216,0.2681,0.2454,0.2682,0.2621,,,,,,,,,,,,,6.586,0.3182,0.4348,0.3182,0.4552
15:44:53.790,2.387,0.2167,0.2368,0.2167,0.2197,,Down,,,Up,,,,,,,,6.669,0.6133,0.4884,0.6133,0.5276
15:44:53.972,2.568,0.2824,0.2505,0.2824,0.2634,,AVG_raw,AVG_EMA,,AVG_raw,AVG_EMA,,,,,,,6.858,0.2056,0.4035,0.2055,0.1907
15:44:54.080,2.678,0.4874,0.3215,0.4874,0.4748,1,0.180141176,0.170429412,,-0.219747059,-0.19115,,,,,,,6.936,0.9518,0.568,0.9518,0.8897
15:44:54.236,2.83,0.1793,0.2789,0.1793,0.252,2,0.370046154,0.317292857,,-0.274745455,-0.149054545,,,,,,,7.048,0.2616,0.4761,0.2616,0.3985
15:44:54.391,2.978,0.2218,0.2617,0.2218,0.179,3,0.157641176,0.165129412,,-0.184911765,-0.196064706,,,,,,,7.181,0.1809,0.3875,0.1809,0.1691
15:44:54.527,3.12,0.1745,0.2356,0.1746,0.1508,,,,,,,,,,,,,7.298,0.1131,0.3052,0.1131,0.0059
15:44:54.680,3.278,0.0311,0.1742,0.0311,0.0695,,,,,,,,,,,,,7.438,0.0184,0.2192,0.0185,0.0741
15:44:54.853,3.448,-0.0058,0.1202,-0.0058,-0.0285,,,,,,,,,,,,,7.551,-0.0247,0.146,-0.0245,-0.0303
15:44:54.989,3.586,0,0.0841,0,-0.0101,,,,,,,,,,,,,7.726,-0.0219,0.0956,-0.0219,-0.028
15:44:55.066,3.663,-0.2841,-0.0263,-0.2842,-0.2406,,,,,,,,,,,,,7.826,-0.2822,-0.0177,-0.2823,-0.2464
15:44:55.180,3.776,-0.1368,-0.0595,-0.1368,-0.1907,,,,,,,,,,,,,8.026,-0.0688,-0.033,-0.0688,-0.1265
15:44:55.338,3.927,-0.2693,-0.1224,-0.2692,-0.2498,,,,,,,,,,,,,8.165,-0.7578,-0.2505,-0.7577,-0.6637
15:44:55.496,4.09,-0.5296,-0.2446,-0.5295,-0.486,,,,,,,,,,,,,8.336,-0.6308,-0.3646,-0.6308,-0.7092
15:44:55.666,4.266,-0.5089,-0.3239,-0.5089,-0.5686,,,,,,,,,,,,,8.481,-0.4308,-0.3844,-0.4309,-0.4932
15:44:55.746,4.341,-0.9893,-0.5235,-0.9893,-0.935,,,,,,,,,,,,,8.682,-0.3857,-0.3848,-0.3858,-0.296
15:44:55.859,4.459,-0.2009,-0.4267,-0.2009,-0.3361,,,,,,,,,,,,,8.877,-0.3626,-0.3781,-0.3626,-0.3582
15:44:55.956,4.546,-0.2539,-0.3749,-0.2539,-0.1644,,,,,,,,,,,,,9.095,-0.0753,-0.2873,-0.0753,-0.1194
15:44:56.124,4.717,-0.0934,-0.2904,-0.0934,-0.0331,,,,,,,,,,,,,9.292,0.021,-0.1948,0.0211,0.0485
15:44:56.270,4.865,-0.2832,-0.2882,-0.2832,-0.3092,,,,,,,,,,,,,9.49,0.0317,-0.1268,0.0318,0.0587
15:44:56.396,4.992,-0.0468,-0.2158,-0.0468,-0.0872,,,,,,,,,,,,,9.669,0.0261,-0.081,0.0261,0.0091
15:44:56.560,5.156,-0.0393,-0.1629,-0.0393,-0.031,,,,,,,,,,,,,9.828,0.0328,-0.0468,0.0326,0.0236
15:44:56.710,5.3,-0.014,-0.1182,-0.014,0.014,,,,,,,,,,,,,9.972,0.0886,-0.0062,0.0885,0.082
15:44:56.866,5.463,-0.02,-0.0887,-0.0202,-0.0355,,,,,,,,,,,,,,,,,
15:44:57.007,5.604,-0.0362,-0.073,-0.0364,-0.0344,,,,,,,,,,,,,,,,,
15:44:57.176,5.766,-0.0201,-0.0571,-0.02,-0.0268,,,,,,,,,,,,,,,,,
15:44:57.324,5.92,-0.0099,-0.043,-0.0098,-0.0092,,,,,,,,,,,,,,,,,
15:44:57.426,6.022,0.0949,-0.0016,0.0949,0.0867,,,,,,,,,,,,,,,,,
15:44:57.536,6.136,0.0764,0.0218,0.0764,0.0926,,,,,,,,,,,,,,,,,
15:44:57.662,6.252,0.5413,0.1776,0.5413,0.4906,,,,,,,,,,,,,,,,,
15:44:57.796,6.39,0.3641,0.2336,0.3642,0.4408,,,,,,,,,,,,,,,,,
15:44:57.875,6.468,1.071,0.4848,1.071,0.9931,,,,,,,,,,,,,,,,,
15:44:57.986,6.586,0.3182,0.4348,0.3182,0.4552,,,,,,,,,,,,,,,,,
15:44:58.070,6.669,0.6133,0.4884,0.6133,0.5276,,,,,,,,,,,,,,,,,
15:44:58.258,6.858,0.2056,0.4035,0.2055,0.1907,,,,,,,,,,,,,,,,,
15:44:58.336,6.936,0.9518,0.568,0.9518,0.8897,,,,,,,,,,,,,,,,,
15:44:58.454,7.048,0.2616,0.4761,0.2616,0.3985,,,,,,,,,,,,,,,,,
15:44:58.590,7.181,0.1809,0.3875,0.1809,0.1691,,,,,,,,,,,,,,,,,
15:44:58.699,7.298,0.1131,0.3052,0.1131,0.0059,,,,,,,,,,,,,,,,,
15:44:58.842,7.438,0.0184,0.2192,0.0185,0.0741,,,,,,,,,,,,,,,,,
15:44:58.954,7.551,-0.0247,0.146,-0.0245,-0.0303,,,,,,,,,,,,,,,,,
15:44:59.136,7.726,-0.0219,0.0956,-0.0219,-0.028,,,,,,,,,,,,,,,,,
15:44:59.232,7.826,-0.2822,-0.0177,-0.2823,-0.2464,,,,,,,,,,,,,,,,,
15:44:59.432,8.026,-0.0688,-0.033,-0.0688,-0.1265,,,,,,,,,,,,,,,,,
15:44:59.572,8.165,-0.7578,-0.2505,-0.7577,-0.6637,,,,,,,,,,,,,,,,,
15:44:59.753,8.336,-0.6308,-0.3646,-0.6308,-0.7092,,,,,,,,,,,,,,,,,
15:44:59.886,8.481,-0.4308,-0.3844,-0.4309,-0.4932,,,,,,,,,,,,,,,,,
15:45:00.088,8.682,-0.3857,-0.3848,-0.3858,-0.296,,,,,,,,,,,,,,,,,
15:45:00.280,8.877,-0.3626,-0.3781,-0.3626,-0.3582,,,,,,,,,,,,,,,,,
15:45:00.502,9.095,-0.0753,-0.2873,-0.0753,-0.1194,,,,,,,,,,,,,,,,,
15:45:00.695,9.292,0.021,-0.1948,0.0211,0.0485,,,,,,,,,,,,,,,,,
15:45:00.895,9.49,0.0317,-0.1268,0.0318,0.0587,,,,,,,,,,,,,,,,,
15:45:01.075,9.669,0.0261,-0.081,0.0261,0.0091,,,,,,,,,,,,,,,,,
15:45:01.236,9.828,0.0328,-0.0468,0.0326,0.0236,,,,,,,,,,,,,,,,,
15:45:01.376,9.972,0.0886,-0.0062,0.0885,0.082,,,,,,,,,,,,,,,,,
15:45:01.565,10.158,0.0962,0.0245,0.0962,0.1042,,,,,,,,,,,,,,,,,
15:45:01.646,10.246,0.7363,0.2381,0.7364,0.6669,,,,,,,,,,,,,,,,,
15:45:01.758,10.356,0.5058,0.3184,0.5059,0.6193,,,,,,,,,,,,,,,,,
15:45:01.858,10.45,0.6551,0.4194,0.6552,0.641,,,,,,,,,,,,,,,,,
15:45:02.035,10.626,0.2956,0.3823,0.2957,0.29,,,,,,,,,,,,,,,,,
15:45:02.194,10.786,0.5862,0.4434,0.5862,0.5299,,,,,,,,,,,,,,,,,
15:45:02.366,10.954,0.3534,0.4164,0.3534,0.3882,,,,,,,,,,,,,,,,,
15:45:02.492,11.087,0.2524,0.3672,0.2523,0.2781,,,,,,,,,,,,,,,,,
15:45:02.607,11.206,0.1995,0.3169,0.1994,0.1529,,,,,,,,,,,,,,,,,
15:45:02.686,11.286,0.0285,0.2304,0.0285,0.0547,,,,,,,,,,,,,,,,,
15:45:02.872,11.467,-0.0186,0.1557,-0.0185,-0.032,,,,,,,,,,,,,,,,,
15:45:02.956,11.556,-0.098,0.0796,-0.0979,-0.1009,,,,,,,,,,,,,,,,,
15:45:03.066,11.658,-0.1384,0.0142,-0.1384,-0.1332,,,,,,,,,,,,,,,,,
15:45:03.146,11.746,-0.2182,-0.0555,-0.2182,-0.2154,,,,,,,,,,,,,,,,,
15:45:03.230,11.826,-0.8078,-0.2812,-0.8078,-0.7474,,,,,,,,,,,,,,,,,
15:45:03.396,11.986,-0.3088,-0.2895,-0.3088,-0.4511,,,,,,,,,,,,,,,,,
15:45:03.604,12.2,-0.5873,-0.3788,-0.5873,-0.511,,,,,,,,,,,,,,,,,
15:45:03.798,12.391,-0.6829,-0.4701,-0.6829,-0.6327,,,,,,,,,,,,,,,,,
15:45:03.996,12.583,-0.2546,-0.4054,-0.2547,-0.3759,,,,,,,,,,,,,,,,,
15:45:04.161,12.761,-0.134,-0.324,-0.1341,-0.0682,,,,,,,,,,,,,,,,,
15:45:04.352,12.948,-0.0023,-0.2275,-0.0022,0.0326,,,,,,,,,,,,,,,,,
15:45:04.502,13.096,0.0204,-0.1531,0.0204,0.0068,,,,,,,,,,,,,,,,,
15:45:04.646,13.236,0.0224,-0.1005,0.0224,0.0226,,,,,,,,,,,,,,,,,
15:45:04.821,13.416,0.0255,-0.0627,0.0253,0.0154,,,,,,,,,,,,,,,,,
15:45:04.908,13.504,0.0675,-0.0236,0.0674,0.0613,,,,,,,,,,,,,,,,,
15:45:05.026,13.619,0.093,0.0114,0.0929,0.0961,,,,,,,,,,,,,,,,,
15:45:05.171,13.761,0.0875,0.0342,0.0875,0.094,,,,,,,,,,,,,,,,,
15:45:05.302,13.902,0.0791,0.0477,0.0791,0.0771,,,,,,,,,,,,,,,,,
15:45:05.456,14.05,0.5633,0.2024,0.5634,0.5043,,,,,,,,,,,,,,,,,
15:45:05.590,14.189,0.6955,0.3503,0.6956,0.7496,,,,,,,,,,,,,,,,,
15:45:05.770,14.364,0.3621,0.3538,0.3621,0.4474,,,,,,,,,,,,,,,,,
15:45:05.931,14.529,0.4936,0.3957,0.4936,0.3969,,,,,,,,,,,,,,,,,
15:45:06.092,14.684,0.412,0.4006,0.412,0.4097,,,,,,,,,,,,,,,,,
15:45:06.246,14.842,0.1875,0.3367,0.1875,0.2376,,,,,,,,,,,,,,,,,
